Grammar,Meaning,Seen,Update_Date
そうもない /そうにない,very unlikely to; showing no signs of ~,true,2024-11-08
まるで,as if; as though; just like ~,true,2024-11-08
ことはない,there is no need to; (something) never happens; there is no possibility that ~,false,
てもしょうがない / てもしかたがない,there's no point to~; it's no use to~; it cannot be helped,false,
ようがない,there is no way to; it’s impossible to ~,false,
とは限らない（とはかぎらない）,not necessarily so; is not always true,false,
も～ば～も,and; also; as well; either/or; neither/nor,false,
なかなか,very; quite; pretty; rather; just not ~,false,
てごらん,(please) try to; (please) look,false,
どんなに～ても,no matter how (much),false,
むしろ,rather; instead; better ~,false,
一方だ（いっぽうだ）,more and more; continue to ~,false,
っぱなし,leaving (something) on; leaving (something) still in use,false,
をはじめ,for example; starting with ~,false,
途中で/途中に（とちゅうで/とちゅうに）,on the way; in the middle of ~,false,
わけだ,for that reason; no wonder; as you’d expect; the fact is; so you mean ~,false,
すなわち,in other words; namely ~,false,
ている場合じゃない（ているばあいじゃない）,this is no time to be doing ~,false,
に比べて（にくらべて）,compared to; in comparison to ~,false,
てはいけないから,in order to not~; to prevent a negative situation,false,
ようとする,try to; attempt to; be about to ~,false,
さらに,furthermore; again; more and more ~,false,
がたい,very difficult to; hard to ~,false,
中（ちゅう）,currently; during; at some point; throughout; before the end of ~,false,
ほど,degree; extent; bounds; upper limit,true,2024-11-04
最中に（さいちゅうに）,while; during; in the middle of ~,false,
として,as; in the role of ~,false,
とおりに,in the same way as; in the way; as ~,false,
にかけて,over (a period); through; concerning; regarding ~,false,
かける,half-; not yet finished; in the middle of~,false,
ふりをする,to pretend; to act as if ~,false,
てばかりいる,only; nothing but ~,false,
一体（いったい）,emphasis; what on earth; what in the world,false,
いくら～ても,no matter how ~,false,
そのために,hence; for that reason; because of ~,false,
ことは～が,although; but ~,false,
際に（さいに）,when; at the time of; in the case of ~,false,
気味（ぎみ）,-like; -looking; -looked; tending to ~,false,
おかげで,thanks to; owing to; because of ~,false,
じゃない,maybe; most likely; confirmation of information; express surprise towards listener,false,
ばかりで,only; just ~ (negative description),false,
ずつ,apiece; each; at a time,false,
的（てき）,change noun into na-adjective or adverb,false,
にしたがって,as; therefore; in accordance with; according to; consequently ~,false,
くらい / ぐらい,approximately; about; around; to the extent ~,false,
ばいい,should; can; it’d be good if ~,false,
てしょうがない・てしかたがない,can't help but; very; extremely ~,false,
ば～のに,would have; should have; if only ~,false,
とても～ない,cannot possibly be; hardly ~,true,2024-11-06
せいで,because of; due to; as a result of ~,false,
を込めて（をこめて）,filled with; full of,false,
ないと,must do; unless/if you don't ~,false,
例えば（たとえば）,for example; for instance ~,true,2024-11-05
ごとに,each; every; at intervals of ~,false,
わざと,on purpose; intentionally ~,false,
ほど～ない,is not as… as ~,false,
めったに～ない,hardly; rarely; seldom,false,
わけにはいかない,must not; cannot afford to; must; have no choice but to ~,false,
だけでなく,not only… but also ~,false,
結局（けっきょく）,after all; eventually; in the end ~,false,
切る（きる）,to do something completely to the end,false,
について,concerning; regarding; about; on ~,false,
に対して（にたいして）,towards; against; regarding; in contrast with ~,false,
通す（とおす）,to do until the end; to continually do; through ~,false,
よりも,in comparison to; rather than; more than ~,false,
なんか / なんて / など,give examples; show modesty; make light of ~,false,
っけ,a casual suffix to confirm something you are trying to remember,false,
つもりで,with the intention of doing ~,false,
はもちろん,not to mention; not only ... but also ~,false,
さて,conjunction: well; now; then ~,false,
に違いない（にちがいない）,I’m sure/ certain; no doubt that ~,false,
ために,for; in order to; for the benefit of; because of; as a result of ~,false,
ながらも,but; although; despite ~,false,
向け（むけ）,intended for; aimed at ~,false,
っぽい,seems like; somewhat; -ish; easily does; often does ~,true,2024-11-05
ばかりでなく,not only... but also; as well as ~,false,
といい / たらいい,it would be nice if; should; I hope ~,false,
あまりにも,too much; so much… that; excessively ~,false,
によると /によれば,according to ~,false,
せいぜい,at the most; at best; to the utmost,false,
たびに,whenever; every time ~,false,
たとたん,as soon as; just as ~,false,
たて,just done; freshly done; newly done,false,
ば～ほど,the more… the more ~,true,2024-11-05
ということだ,I heard; it means that; in other words ~,false,
か何か（かなにか）,or something ~,false,
にしては,for; considering it’s (something or someone),false,
どうしても,no matter what; at any cost; after all ~,false,
と言うと（というと）,speaking of; when you talk of; when you say ~,false,
ばよかった,should have; would have been better if ~,false,
代わりに（かわりに）,instead of; as a substitute for; in exchange for; in return for,false,
割に（わりに）,considering ~; for ~; despite ~,false,
確かに（たしかに）,surely; certainly ~,false,
ついでに,while; incidentally; at the same time; on the way ~,false,
とみえる / とみえて,it seems that ~,false,
たって,even if; even though; no matter how ~,false,
数量 + は（すうりょう + は）,at least ~,false,
を通じて / を通して（をつうじて / をとおして）,through; via; throughout; by ~,false,
向き（むき）,suitable for ~,false,
につれて,as; in proportion to; with; as… then ~,false,
つい,accidentally; unintentionally; by mistake,false,
別に～ない（べつに～ない）,not really; not particularly,false,
もしも〜たら,if; in the case; supposing ~,false,
を中心に（をちゅうしんに）,focused on; centered on,false,
とすれば・としたら・とすると,in the case of~; assuming~; if A then B,false,
たものだ,used to do; would often do,false,
て済む（てすむ）,sufficient by; no problem to; resolve by ~,false,
上で（うえで）,upon; after; when; for; in order to,false,
すでに,something has already been done/taken place; is already the case,false,
しかない,have no choice but ~,false,
ように見える（ようにみえる）,to look; to seem; to appear ~,false,
てからでないと,must first do; cannot do without first doing ~,false,
合う（あう）,do something together,false,
べきではない,should not do; must not do ~,false,
にかわって / にかわり,instead of; replacing; on behalf of ~,false,
つもりだった,I thought I~; I believe I~; was planning to~; was intending to ~,false,
にしても,even if; even though; regardless of ~,false,
ところで,by the way ~,false,
だらけ,full of; covered with; a lot of (something undesirable),false,
と言えば（といえば）,speaking of; when you talk of; when you say; if it were the case that ~,false,
ずにはいられない,can’t help but feel; can’t help but do; must do ~,true,2024-11-06
わざわざ,to go to the trouble of; to go out of one's way to ~,false,
ように,in order to; so that ~,false,
ところが,even so; however; even though ~,false,
ことから,from the fact that ~,false,
において / における,in; at (place); regarding; as for; in relation to ~,false,
こそ,for sure (emphasize preceding word); precisely; definitely ~,true,2024-11-04
にとって,to; for; concerning; as far as ... is concerned; regarding ~,false,
は～で有名（は～でゆうめい）,famous for ~,false,
たとえ～ても,even if… is the case,false,
ても構わない（てもかまわない）,it doesn't matter if ~,false,
べきだ,should do; must do ~,false,
ぶりに,for the first time in (period of time),false,
てはじめて,not until; only after [x] did I,false,
ないことはない,can do; is not impossible to ~,false,
わけではない,it doesn’t mean that; it is not the case that; I don’t mean that; it is not true that ~,false,
上に（うえに）,as well; besides; in addition to; not only… but also ~,false,
に関する / に関して（にかんする / にかんして）,about; regarding; related to ~,false,
直す（なおす）,to do something again; to do over,false,
によって / による,by means of; due to; owing to; because of ~,false,
ついに,finally; at last; in the end ~,false,
と共に（とともに）,together with; at the same time as; as well as ~,false,
込む（こむ）,to do something for a long time or to move something inside,false,
なぜなら,because; the reason is; if you want to know why,false,
まさか,there's no way; that's impossible; you must be joking,false,
上げる（あげる）,to finish doing ~,false,
なるべく,as much as possible,false,
結果（けっか）,as a result of; after ~,false,
一度に（いちどに）,all at once,false,
くせに,and yet; though; in spite of; despite ~,false,
それとも,or; or else ~,false,
もしかしたら,perhaps; maybe; perchance; by any chance ~,false,
のでしょうか,ask a question in a polite way,false,
に慣れる（になれる）,to be used to something,false,
つまり,in other words; in summary; in short ~,false,
は別として（はべつとして）,aside from; apart from; except for; whether or not ~,false,
がち,tend to; tendency to; frequently; often; to do something easily,false,
だけど,but; however; although; regarding ~,false,
ふと,suddenly; accidentally; unexpectedly; unintentionally ~,false,
といっても,although I say; although one might say ~,false,
あまり,so much… that,true,2024-11-04
しばらく,for a moment; for a while; for the time being,false,
ような気がする（ようなきがする）,have a feeling that; feels like; seems like; think that ~,false,
というより,rather than ~,false,
切れない（きれない）,unable to do; too much to finish/complete,false,
うちに,while; before ~,false,
こと,(must) do,false,
から〜にかけて,through; from [A] to [B],false,
ても始まらない（てもはじまらない）,even if you... it’s no use; there is no point to ~,false,
には,for the purpose of; in order to ~,false,
ようとしない,not try to; not make an effort to ~,false,
だけ,as much as ~,true,2024-11-07
というのは,this means; the meaning of … is; because; that is to say ~,false,
ことになっている,expresses a standard; rule or expectation,false,
んだって,I hear that; heard that ~,false,
さえ,even; so much as; not even,false,
ずに,without doing ~,true,2024-11-07
わけがない,there is no way that; it is impossible to ~,false,
きり,only; just; since; after ~,false,
に反して（にはんして）,against; contrary to; in contrast to ~,false,
決して～ない（けっして～ない）,never; by no means ~,false,
さえ～ば,if only; as long as ~,false,
