Kanji,On_Reading,Kun_Reading,Meaning,Examples,Components,Koohii_Story_1,Koohii_Story_2,Seen,Update_Date
両,リョウ,,both; counter for carriages/cars (e.g./ in a train),両替 (りょうがえ) money exchange<br>両方 (りょうほう) both; both sides<br>両親 (りょうしん) both parents,一: one; one radical (no.1) 冂: upside-down box radical (no. 13) 山: mountain,Primatives celing; belt; mountain as per Cumulative Errata. See volfy post for link. Both effective ways to commit suicide/ hang your self from the celing with your belt or jump off a mountain.,Both of Tiger Wood´s initials is the logo on his belt...,,
予,ヨ,,beforehand; previous; I; myself,予報 (よほう) forecast; prediction<br>予期 (よき) expectation; assumption<br>予測 (よそく) estimation<br>予算 (よさん) estimate; budget<br>予約制 (よやくせい) by reservation,マ: None 了: complete; finish,Beforehand/ this was a halberd but I cut it short so it could be for hand to hand combat.,Your halberd doesn´t have a handguard? You should have thought of that beforehand (i.e./ before you were missing your hand).,,
争,ソウ,あらそ・う,argue; contend; dispute,論争 (ろんそう) dispute; controversy<br>戦争 (せんそう) war<br>競争 (きょうそう) competition; race,勹: wrapping enclosure; wrapping radical (no. 20) 彑: pig's head radical variant (no. 58) 亅: feathered stick; barb radical (no. 6),This can be seen as a Retarius/ a roman gladiator. The Retiarius always fought with a net to bound up his opponents/ and with a trident/ which was able to pierce enemies after tying them. They were terrific contenders/ so they were only paired with gladiators specially equipped to fight them.,A boxing ring is bound up by the ropes. The contender is cheating and using a rake.,,
交,コウ,か・わす/まじ・える/まじ・わる/ま・ざる/ま・じる/ま・ぜる,association; coming & going; mixing,交換 (こうかん) exchange; substitution<br>交際 (こうさい) company; friendship<br>外交 (がいこう) diplomacy<br>交通 (こうつう) traffic; transportation; communication<br>交差点 (こうさてん) crossing; intersection,亠: kettle lid radical (no. 8) 父: father,Even though your FATHER is an old man/ he can´t give up his party lifestyle. Once a week he still dons his cool TOP HAT (well/ it was cool 40 years ago) and goes out on the town to MINGLE with the ladies. This is a pretty common thing in Japan/ where old motherfuckers still think they can pick up 19 year old girls.,Darth Vader tries to mingle with his troops. He even weares one of the helmets of the stromtroopers. (one of them laughs: white helmet/ black suit. Darth Vader thereby slashes him in 2).,,
他,タ,ほか,another; other; the others,他人 (たにん) another person; others<br>他社 (たしゃ) another company<br>他 (ほか) other (place/ thing/ person),人: person 也: to be (classical),Old latin saying: homo hominis scorpio (people are scorpions to other people).,It´s one or the other: fight Mr. T/ or be thrown into the scorpion pit.,,
付,フ,つ・く/つ・ける,adhere; append; attach; refer to,付き合い (つきあい) association; socializing<br>味付け (あじつけ) flavoring/ seasoning<br>寄付 (きふ) donation<br>受付 (うけつけ) reception; information desk<br>片付ける (かたづける) to tidy up; to put away,人: person 寸: measurement; foot/10,賀 TO EVERYONE WHO MADE IT TO 千 kanji!! Remember/ after this/ you´ll be 読ing japanese novels/ the news/ and the internet like a native. 吉 to ALL of you in your amazing japanese 往. :).,If a PERSON ADHERES to something/ they stick to it like GLUE.,,
伝,デン,つた・う/つた・える/つた・わる,communicate; report; follow; tradition,伝統 (でんとう) tradition; convention<br>手伝い (てつだい) help<br>伝える (つたえる) to convey; to report; to tell<br>手伝う (てつだう) to help; to assist,人: person 云: say,Mister T transmits a message with rising clouds (smoke) signals/ to a nearby American Indian tribe. The smoke signals spell : 'I p-i-t-y y-o-u f-o-o !'.,Hanging one-handed under Cloud City/ the Jedi-in-training Luke/ uses the force to transmit his distress to Leia.,,
位,イ,くらい,rank; grade; about; some; crown;  throne,位置 (いち) place; position<br>単位 (たんい) unit; denomination<br>地位 (ちい) position; status<br>位 (くらい) about,人: person 立: stand up; rise; set up; erect,Mr T ranks first position in the stand-up competition (doing knee flexions). Just picture him doing hundreds of these while the rest of the participants are already completely exhausted after a mere hundred.,Rank A person´s standing.,,
係,ケイ,かかり/かか・る,concern oneself; connection; duty; person in charge,人間関係 (にんげんかんけい) human relations<br>係 (かかり) person in charge; clerk<br>信頼関係 (しんらいかんけい) trusting relationship<br>関係 (かんけい) relationship; connection,人: person 系: lineage; system,Mister T gets a DNA test/ and discovers that he was meant to be the person in charge after all.,The person in charge usually must come from a long standing lineage of persons in charge.,,
信,シン,,trust; to entrust; truth; faith; fidelity,信じる (しんじる) to believe; to place trust in信号 (しんごう) traffic signal<br>信念 (しんねん) belief; faith<br>信用 (しんよう) confidence; trust<br>信頼 (しんらい) reliance; confidence,人: person 言: say,Mr. T has faith in the Word of God. (Image: Mr. T kneeling and prayering in front of a bible. 'Pity me/ fool.').,Faith is believing that a person will be true to his word.,,
