Kanji,Reading,Meaning,Seen,Update_Date
困難,こんなん,difficulty; hardship,true,2024-11-19
学,がく,learning; scholarship,true,2024-11-19
ドロドロ,ドロドロ,syrupy; thick consistency,true,2024-11-19
大部分,だいぶぶん,greater part; majority,true,2024-11-19
ジーンズ,ジーンズ,jeans,true,2024-11-19
消費,しょうひ,consumption; expenditure,true,2024-11-19
有能,ゆうのう,able; capable,true,2024-11-19
火曜,かよう,Tuesday,true,2024-11-19
完全,かんぜん,completeness,true,2024-11-06
サポート,サポート,support,true,2024-11-18
いつまでも,いつまでも,forever; as long as one likes; indefinitely,true,2024-11-19
覚悟,かくご,readiness; preparedness,true,2024-11-19
ワンルーム,ワンルーム,one-room (apartment),false,
監督,かんとく,supervision; direction | coach; manager; director,false,
管,かん,pipe; tube,false,
原,はら,field; plain,true,2024-11-08
詩人,しじん,poet,false,
預ける,あずける,to entrust; to deposit; to leave in one's care,false,
扱う,あつかう,to handle; to manage; to deal with,false,
恋,こい,(romantic) love,false,
サングラス,サングラス,sunglasses,false,
お祈り,おいのり,a wish,false,
熱中,ねっちゅう,enthusiasm; mania,false,
海外,かいがい,foreign; overseas,false,
空き,あき,vacancy; opening,false,
禁煙,きんえん,No Smoking; quitting smoking,false,
型,かた,mould; template; type; pattern,false,
席（せき）,せき,seat,true,2024-11-14
通学,つうがく,commuting to school,false,
たびたび,たびたび,often; again and again,false,
優勝,ゆうしょう,overall victory; championship,true,2024-11-07
隠す,かくす,to hide; to conceal,false,
吸収,きゅうしゅう,absorption,false,
かなり,かなり,considerably; fairly; quite,false,
情報,じょうほう,information; news; data,false,
やる気が出る,やるきがでる,to become motivated,false,
農業,のうぎょう,agriculture,false,
ビデオ,ビデオ,video,false,
人間,にんげん,human being; person,false,
正確,せいかく,accurate; correct; exact,false,
ますます,ますます,increasingly; more and more,false,
明かり,あかり,illumination,false,
恋人,こいびと,lover; sweetheart,false,
用いる,もちいる,to use; to utilize,false,
粉,こな,flour; powder,false,
中止,ちゅうし,suspension; interruption,false,
サプリ,サプリ,supplement (drug/medicine),false,
冗談,じょうだん,joke,false,
騒音,そうおん,noise,false,
損,そん,loss; damage; harm,false,
伝統,でんとう,tradition; convention,true,2024-11-05
面倒,めんどう,trouble; bother,false,
信じる,しんじる,to believe; to place trust in,true,2024-11-05
恐怖,きょうふ,fear; dread,false,
時（とき）,とき,time; occasion,false,
満足,まんぞく,satisfaction; contentment; sufficient,false,
掲示板,けいじばん,bulletin board,false,
タオル,タオル,towel,false,
そっと,そっと,quietly; secretly; stealthily,false,
小屋,こや,hut; cabin; shed,true,2024-11-18
急に,きゅうに,quickly; suddenly,true,2024-11-13
議会,ぎかい,congress; legislative assembly,false,
気に入る,きにいる,to be pleased with,false,
ピクニック,ピクニック,picnic,false,
知識,ちしき,knowledge,false,
酸素,さんそ,oxygen,false,
成長,せいちょう,growth,true,2024-11-16
幸福,こうふく,happiness; well-being,false,
たまらない,たまらない,unbearable | irresistible,false,
考え,かんがえ,thought; idea; opinion,false,
エビ,えび,shrimp,false,
メモ,メモ,memo,false,
